#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
ad,drop,0.04,0,11,59,15.274405,18.95652404
ad,magazine,0.04,0,11,39,18.951957,18.98682939
ad,message,0.013,0,11,64,4.851049,4.682396431
ad,money,0.013,0,11,265,11.989401,11.4134908
ad,news,0.013,0,11,102,8.943424,10.76155852
ad,newspaper,0.252,0.03,11,65,17.239299,18.52648767
ad,paper,0.079,0,11,157,12.144471,17.97383086
ad,sale,0.013,0,11,44,10.932546,18.09231246
ad,television,0.026,0,11,50,18.751875,18.68387985
addict,alcohol,0.02,0,1,13,13.447005,20.62177087
addict,cocaine,0.04,0.02,1,1,14.25659,14.17689778
addict,heroin,0.034,0.02,1,2,13.405545,17.22735495
addiction,cocaine,0.055,0.02,3,1,19.733596,19.48215083
addiction,drug,0.664,0.034,3,24,17.258936,16.73946737
addiction,habit,0.014,0.021,3,23,17.661916,24.16309933
addiction,problem,0.041,0,3,313,12.269035,12.24549998
addition,math,0.124,0,142,4,17.907668,17.60481099
addition,subtraction,0.621,0.507,142,6,5.044798,6.535503461
adjective,adverb,0.152,0.274,2,1,3.42222,3.994918782
adjective,blue,0.014,0,2,143,17.152953,20.66059217
adjective,noun,0.333,0.038,2,1,3.57947,3.771775231
adjective,pronoun,0.022,0.059,2,4,10.069784,9.711277059
adjective,verb,0.181,0.027,2,4,2.244976,2.29017069
adjective,word,0.014,0,2,274,4.541202,19.46326391
adjustment,belt,0.02,0,35,29,11.858457,15.83740995
adjustment,bra,0.02,0,35,0,23.072309,22.54659425
adjustment,car,0.014,0,35,274,17.725154,17.58246019
adjustment,knob,0.014,0,35,2,19.575601,19.74195427
adjustment,television,0.014,0,35,50,19.889019,19.67869534
admission,college,0.048,0,33,267,19.483303,19.62388711
admission,fee,0.014,0,33,16,2.037502,2.163633633
admission,money,0.048,0,33,265,10.496263,19.67997657
admission,movie,0.027,0,33,29,13.702948,18.85912423
admission,price,0.014,0,33,108,7.523322,7.445206205
admission,school,0.061,0,33,492,16.247218,19.16148808
admission,test,0.014,0,33,119,14.232444,14.1750688
admission,ticket,0.245,0.048,33,16,15.042797,14.53314223
adult,child,0.459,0.101,25,213,7.634812,8.862017055
adult,father,0.014,0,25,183,9.028856,14.77295356
adult,kid,0.047,0.047,25,61,7.634812,8.600885215
adult,mother,0.02,0,25,216,3.260005,3.196290531
adult,parent,0.115,0.024,25,15,8.214902,8.427384209
adult,person,0.02,0,25,175,3.122629,3.276306959
adult,youth,0.014,0,25,82,10.17294,15.77031212
adultery,affair,0.033,0.068,3,33,20.096059,22.85036753
adultery,crime,0.02,0,3,34,20.901699,23.83374456
adultery,man,0.04,0,3,1207,19.489378,20.14282637
adultery,marriage,0.013,0,3,95,22.239025,22.90528329
adultery,sex,0.133,0,3,84,6.412065,6.393590754
adultery,sin,0.113,0,3,67,22.115087,21.87049293
adventure,action,0.019,0.051,14,291,10.054394,18.33758052
adventure,book,0.013,0,14,193,16.783029,18.49777757
adventure,danger,0.013,0.014,14,70,7.25721,7.131765911
adventure,excitement,0.078,0,14,32,17.039258,21.56858587
adventure,fun,0.123,0,14,44,15.413308,21.11352382
adventure,island,0.299,0,14,167,18.594619,17.80699166
adventure,space,0.013,0,14,184,18.051193,20.52215933
