Word,Length,Freq_HAL,Log_Freq_HAL,POS,I_Mean_RT,I_NMG_Mean_RT
underpants,10,654,6.48,NN,709.79,619.88
underpass,9,68,4.22,NN,761.26,613.25
underpay,8,16,2.77,VB,794.19,726.82
underhanded,11,321,5.77,JJ,863.2,698
underpinning,12,141,4.95,NN|VB,954.72,806.29
underpins,9,33,3.5,VB,887.04,731.33
underhandedness,15,16,2.77,NN,1021.78,844.48
underhung,9,11,2.4,JJ,987.05,685.68
underlay,8,59,4.08,NN,765.33,647.44
underlie,8,188,5.24,VB,812.59,636.39
underlies,9,215,5.37,VB,749.18,613.92
underline,9,829,6.72,VB,648.15,591
underlined,10,951,6.86,VB,791.03,660.44
underling,9,114,4.74,NN,930.7,648.82
underlining,11,399,5.99,VB|NN,867.28,713.58
underlying,10,6127,8.72,VB,712.37,638.96
undermanned,11,26,3.26,JJ|VB,985.48,839.84
undermentioned,14,3,1.1,JJ,1126.1,857.18
undermine,9,1573,7.36,VB,778.68,690.11
undermined,10,455,6.12,VB,967.43,740.05
undermining,11,568,6.34,VB,998.7,715.09
underneath,10,5193,8.56,minor|NN,709.37,727.54
underpaid,9,363,5.89,JJ,714.56,749.85
undernourish,12,1,0,VB,1071.19,784.54
underpin,8,41,3.71,VB,792.07,658.41
underplay,9,93,4.53,VB,743.53,627
underplayed,11,31,3.43,NULL,762.71,730.63
underpopulated,14,13,2.56,JJ|VB,1081.78,847.93
underprivileged,15,150,5.01,JJ,1010.66,821.21
underproduction,15,3,1.1,NN,1168.81,889.2
underproof,10,0,0,JJ,779.75,634.42
underquote,10,1,0,VB,1035.23,878.81
underrate,9,54,3.99,VB,951.29,781.85
underrated,10,868,6.77,VB|JJ,859.19,808.19
underscore,10,686,6.53,VB|NN,736.33,642.23
underscored,11,247,5.51,VB|JJ,930.34,782.54
undersea,8,363,5.89,JJ,904.9,642.63
undersecretary,14,124,4.82,NN,1146.45,911.12
undersell,9,16,2.77,VB,942.93,675.79
undersexed,10,15,2.71,JJ,1000.29,686.43
undershirt,10,61,4.11,NN,776.97,710.69
undershoot,10,18,2.89,VB,810.7,671.07
underside,9,1171,7.07,NN,804.71,667.59
undersign,9,0,0,VB,737.27,634.56
undersize,9,29,3.37,JJ,695.76,638.96
undersized,10,167,5.12,JJ,754.71,636.85
understaffed,12,102,4.62,JJ|VB,988.96,744.8
understand,10,107528,11.59,VB,743.09,546.54
understandable,14,3055,8.02,JJ,988.1,645.54
understandably,14,741,6.61,RB,953.03,701.62
understanded,12,2,0.69,VB,763.6,607.8
understanding,13,39902,10.59,NN|VB|JJ,718.62,622
understandingly,15,13,2.56,RB,890.6,708.19
understandings,14,361,5.89,NN,974.93,656.19
understands,11,4431,8.4,VB,758.52,594.48
understate,10,78,4.36,VB,859.61,665
understated,11,296,5.69,VB|JJ,896.5,716.89
understatement,14,713,6.57,NN,888.38,670.37
understates,11,47,3.85,VB,854.55,703.4
understock,10,3,1.1,NN,913.38,659.58
understood,10,13517,9.51,VB|NN,622.03,606.46
understructure,14,1,0,NN,1118.73,808.29
undertake,9,1294,7.17,VB,693.97,619.39
understudy,10,151,5.02,NN|VB,810.17,661.08
undertaken,10,1551,7.35,VB,734.94,627.14
undertaker,10,556,6.32,NN,751.91,664.52
undertakes,10,114,4.74,VB,737.55,658.42
undertaking,11,1380,7.23,NN,705.73,614.07
undertakings,12,165,5.11,NN,817.89,629.04
undertone,9,61,4.11,NN,793.82,632.81
undertook,9,263,5.57,VB,649.24,622.89
undertow,8,1581,7.37,NN,850.41,679.81
undervaluation,14,6,1.79,NN,1202.59,999.42
undervalue,10,41,3.71,VB,836.7,811.64
underwater,10,2479,7.82,JJ|NN,766.97,584.46
underway,8,2531,7.84,RB,878.37,648.96
underwear,9,3400,8.13,NN,671.91,607.07
underweight,11,109,4.69,JJ,762.36,649.74
underwent,9,538,6.29,VB,878.8,717
underwood,9,1048,6.95,NN,883.23,627.08
underwood's,11,17,2.83,encl,775.72,628.38
underworld,10,5785,8.66,NN,678.45,656.93
underwrite,10,205,5.32,VB,861.45,800.63
underwriter,11,267,5.59,NN,863.09,687
underwriters,12,177,5.18,NN,810.09,817.12
underwriting,12,326,5.79,VB|NN,890.66,797.83
undeserved,10,228,5.43,JJ,837.87,797.56
undesirable,11,1583,7.37,JJ,762.44,760.46
undetectable,12,426,6.05,JJ,768.94,745.26
undetected,10,489,6.19,JJ,787.5,801.59
undetermined,12,361,5.89,JJ,867.79,755.29
undeterred,10,55,4.01,JJ,1035.57,757.28
undeveloped,11,403,6,JJ,814.91,701.14
undid,5,434,6.07,VB,919.43,642.7
undies,6,323,5.78,NN,831.83,664.91
undigested,10,80,4.38,JJ,969.3,782.18
undignified,11,76,4.33,JJ,1010.84,818.35
undifferentiated,16,119,4.78,JJ,1024.25,790.48
undiluted,9,122,4.8,JJ,1041.24,998.73
undiminished,12,27,3.3,JJ,852.19,825.19
undimmed,8,8,2.08,JJ,920.54,757.79
undismayed,10,1,0,JJ,901.18,855.68
undivided,9,287,5.66,JJ,765.15,693.18
undisciplined,13,181,5.2,JJ,932.73,755.83
undisclosed,11,297,5.69,JJ,917.26,841.93
undisguised,11,41,3.71,JJ,1046.11,802.46
undisputed,10,443,6.09,JJ,903.27,768.67
undistinguished,15,62,4.13,JJ,997.24,734.96
undisturbed,11,308,5.73,JJ,872.29,776.33
undo,4,2398,7.78,VB,613.48,572.07
undock,6,3,1.1,VB,1053.08,680.7
undoing,7,2170,7.68,NN|VB,752.25,608.48
undomesticated,14,18,2.89,JJ,1089.11,840.11
undone,6,692,6.54,VB,686.03,577.18
undoubtedly,11,3473,8.15,RB,904.17,695.72
undreamed,9,62,4.13,JJ,885.68,671.93
undreamt,8,15,2.71,JJ,1106,872.64
undress,7,580,6.36,VB|NN,657.97,652.7
undressed,9,530,6.27,VB|JJ,696.03,612.82
undressing,10,279,5.63,VB|NN,697.03,727.68
unequaled,9,79,4.37,JJ,836.65,714.22
unequalled,10,60,4.09,JJ,894.14,831.8
unerring,8,75,4.32,JJ,863.43,780.05
undrinkable,11,30,3.4,JJ|NN,986.06,672.56
undue,5,1087,6.99,JJ,785.81,653.41
undulate,8,34,3.53,VB,828.2,852.26
undulated,9,43,3.76,VB,870.38,912.14
undulating,10,167,5.12,JJ,895.68,809.15
unduly,6,429,6.06,RB,816.24,836.74
undying,7,376,5.93,JJ,766.6,695.73
unearned,8,292,5.68,JJ,862.17,749
unearth,7,197,5.28,VB,784,681.14
unearthed,9,416,6.03,VB,839.82,666.85
unease,6,163,5.09,NN,895.97,628.48
uneasily,8,92,4.52,RB,832.84,576.63
uneasiness,10,123,4.81,NN,861.12,722.64
uneasy,6,797,6.68,JJ,636.97,624.08
uneaten,7,40,3.69,JJ,851.13,647.88
uneconomic,10,53,3.97,JJ,1049.37,977.2
uneconomical,12,95,4.55,JJ,1145.71,883.88
uneducated,10,1235,7.12,JJ,868.35,754.96
unemployed,10,2488,7.82,JJ,713.73,681.52
unending,8,322,5.77,JJ,1106.92,773.07
unequal,7,781,6.66,JJ,742.08,623.15
unemotional,11,97,4.57,JJ,931.29,768.44
unemployable,12,118,4.77,JJ,988.9,760.62
unemployment,12,5064,8.53,NN,903.9,686.21
unendurable,11,35,3.56,JJ,1222.83,977.32
unenlightened,13,314,5.75,JJ,1146.88,906
unenthusiastic,14,43,3.76,JJ,1125.04,845.6
unenviable,10,80,4.38,JJ,984.44,884.2
unequivocal,11,270,5.6,JJ,939.88,846.86
unequivocally,13,500,6.21,RB,975.85,862.9
unerringly,10,68,4.22,RB,1076.8,871.89
uneven,6,1235,7.12,JJ,738.61,605.54
uneventful,10,255,5.54,JJ,974.57,674.04
unexceptionable,15,10,2.3,JJ,1086.46,899.68
unexpected,10,4257,8.36,JJ,703.27,626
unexpectedly,12,1098,7,RB,885.81,716.63
unexpended,10,7,1.95,JJ,964.4,803.38
unimpaired,10,33,3.5,JJ,1005.7,816.71
unimportant,11,1716,7.45,JJ,976.26,647.93
unimpressed,11,419,6.04,JJ,965.8,716.76
unexplainable,13,214,5.37,JJ,899,722.89
unexplained,11,1026,6.93,JJ,870.97,689.4
unexplored,10,261,5.56,JJ,708.87,629.29
unfailing,9,49,3.89,JJ,793.23,654.52
unfailingly,11,79,4.37,RB,1087.74,828.5
unfair,6,6396,8.76,JJ|NN,637.29,556.34
unfaithful,10,233,5.45,JJ,736,639
unfaltering,11,3,1.1,JJ,967.69,687.19
unfalteringly,13,2,0.69,RB,1053.67,901.95
unfamiliar,10,3185,8.07,JJ,795.73,670.59
unfastened,10,138,4.93,VB|JJ,827.68,700.36
unfathomable,12,192,5.26,JJ,983,800.27
unfavorable,11,498,6.21,JJ,796.97,702.32
unfeeling,9,184,5.21,JJ,704.15,639.89
unfeigned,9,10,2.3,JJ,1060.9,690.07
unfenced,8,19,2.94,JJ|VB,909.64,691.35
unfertile,9,3,1.1,JJ,905.36,792.07
unfettered,10,329,5.8,JJ,842.18,700.87
unfinished,10,1349,7.21,JJ,748.09,646.36
unfit,5,805,6.69,JJ,739.71,615.19
unfertilized,12,78,4.36,JJ,864.86,695.67
unfitting,9,9,2.2,VB|NN|JJ,803.06,656.04
unfixed,7,75,4.32,JJ,721.79,615.54
unflagging,10,22,3.09,JJ,1032.64,691.96
unflappable,11,39,3.66,JJ,1063.52,838.22
unflattering,12,179,5.19,JJ,802.47,678.18
unflinching,11,178,5.18,JJ,1057.33,689
unfold,6,583,6.37,VB,607.65,594.37
unfolded,8,315,5.75,VB,685.55,605.54
unfolding,9,508,6.23,VB|NN,655.74,631.86
unfoldment,10,160,5.08,NULL,925.1,687.82
unfolds,7,278,5.63,VB,688.52,566.93
unforeseen,10,269,5.59,JJ,963.1,684.33
unforgettable,13,681,6.52,JJ,792.74,690.89
unforgivable,12,240,5.48,JJ,797.78,683.61
unformed,8,48,3.87,JJ,816.19,726.27
unforseen,9,251,5.53,NULL,793.93,639.7
ungodly,7,325,5.78,JJ,916.27,744.11
unify,5,1144,7.04,VB,666.42,696.44
unifying,8,514,6.24,VB,1023.18,873.61
unilaterally,12,524,6.26,RB,959.75,964.9
unfortunate,11,6083,8.71,JJ,794.6,735.73
unfortunately,13,44809,10.71,RB,883.03,676.96
unfortunates,12,168,5.12,NN,891.03,777.37
unfounded,9,1390,7.24,JJ,812.24,717.11
unfrequented,12,7,1.95,JJ,882.43,718
unfriendly,10,741,6.61,JJ,722.38,636.96
unfrocking,10,0,0,VB|NN|JJ,920,723.37
unfrosted,9,10,2.3,VB,946.41,649.19
unfrozen,8,83,4.42,JJ,718.52,608.85
unfruitful,10,23,3.14,JJ,1024.26,718.59
unfulfilled,11,258,5.55,JJ,954.16,720.11
unfurl,6,33,3.5,VB,919.05,722.77
unfurled,8,97,4.57,VB|JJ,821.45,751.04
unfurnished,11,31,3.43,JJ,811.74,652.69
ungainly,8,87,4.47,JJ,939.73,743.5
ungallant,9,6,1.79,JJ,1018.44,841.52
ungenerous,10,20,3,JJ,1203.59,1010.5
unglamorous,11,29,3.37,JJ,986.1,798.78
unglazed,8,38,3.64,JJ,830.77,697.81
unglued,7,83,4.42,JJ,822.29,857.44
ungovernable,12,29,3.37,JJ,1130.07,828.96
ungoverned,10,17,2.83,VB|JJ,957.53,767.48
ungracious,10,47,3.85,JJ,852.75,817.38
ungrateful,10,337,5.82,JJ,808.64,694.46
ungratified,11,6,1.79,JJ,940.94,758.48
ungrudging,10,1,0,JJ,1054.52,859.48
unguarded,9,147,4.99,JJ,752.47,695.36
unguided,8,68,4.22,JJ,1000.73,722.11
unhand,6,6,1.79,VB,846.19,618.84
unhappiest,10,12,2.48,JJ,760.1,625.88
unhappily,9,156,5.05,RB,671.15,587.32
unhappiness,11,493,6.2,NN,750.03,581.52
unhappy,7,3795,8.24,JJ,616.32,548.96
unharmonious,12,0,0,JJ,1026.74,847.15
unhealthy,9,1277,7.15,JJ,703.34,650.92
unheard,7,1001,6.91,JJ,691.45,657.54
unheated,8,106,4.66,JJ,840.94,643.6
unheeded,8,100,4.61,JJ,847.6,767.42
unheeding,9,7,1.95,JJ,977.36,730.17
unhesitant,10,0,0,JJ,837,769.08
unhesitatingly,14,39,3.66,RB,1122.87,827.09
unhinge,7,7,1.95,VB,951.42,699.59
unhinged,8,55,4.01,JJ,877.79,752.58
unhitched,9,11,2.4,VB|JJ,982.25,620.74
unholy,6,3945,8.28,JJ,711.94,628.58
unhook,6,128,4.85,VB,693.38,553.04
unhorse,7,3,1.1,VB,985.73,681.36
unhurried,9,81,4.39,JJ,761.61,663.08
unhurriedly,11,9,2.2,RB,941.67,894.4
unhurt,6,74,4.3,JJ,759,692.67
unicorn,7,3548,8.17,NN,689.84,678.07
unidentified,12,1406,7.25,JJ,934.9,712.04
unidirectional,14,178,5.18,JJ,1093.94,981.86
unification,11,2629,7.87,NN,908.72,799.08
unifications,12,14,2.64,NN,1060.61,939.2
unified,7,3184,8.07,JJ,829.43,691.54
unifies,7,164,5.1,VB,840.27,770.69
uniform,7,8113,9,NN|JJ,570.94,614.25
uniformed,9,579,6.36,JJ,691.72,736.13
uniformly,9,1029,6.94,RB,816.55,750.72
uniforms,8,2674,7.89,NN,727.42,646.11
uniformity,10,481,6.18,NN,902.66,827.5
unilateral,10,612,6.42,JJ,962.83,875.27
unimaginative,13,279,5.63,JJ,1004.32,859.74
unimpeachable,13,88,4.48,JJ,1210.19,1022.72
unimaginable,12,358,5.88,JJ,905.4,791.96
unimpeachably,13,3,1.1,RB,1179.83,964.94
unimposing,10,5,1.61,JJ,1090.08,863.92
unimpressive,12,180,5.19,JJ,1096.93,836.04
unimproved,10,61,4.11,JJ,898.52,710.76
uninfluenced,12,25,3.22,JJ,1182.24,876.91
uninformed,10,1596,7.38,JJ,926.68,904.5
uninhabitable,13,94,4.54,JJ,1141.16,909.17
uninhibited,11,310,5.74,JJ,906.69,720
uninitiate,10,10,2.3,VB,1152.57,1016
uninitiated,11,387,5.96,JJ,918.67,982.85
uninjectable,12,0,0,JJ,1255.88,996.46
uninjured,9,64,4.16,JJ,992.67,864.57
uninominal,10,4,1.39,JJ,1278.13,1256.4
unit,4,42634,10.66,NN,621.47,592.12
uninspired,10,228,5.43,JJ,939.93,813.12
unintelligible,14,402,6,JJ,1078.22,805.33
unintended,10,568,6.34,JJ,760.61,709.23
uninterested,12,371,5.92,JJ,986.32,742.21
uninteresting,13,649,6.48,JJ,816.31,752.5
uninterrupted,13,520,6.25,JJ,936.27,798.3
uninterruptedly,15,7,1.95,RB,1075.05,854.76
uninvited,9,196,5.28,JJ,910.84,746
uninvolved,10,135,4.91,JJ,909.69,787.52
union,5,30591,10.33,NN,622.21,615.59
unionist,8,514,6.24,NN|JJ,695.15,834.41
unionization,12,31,3.43,NN,1058.92,935.94
unionize,8,38,3.64,VB,906.08,821.65
unions,6,4016,8.3,NN,705.72,691
union's,7,490,6.19,encl,714.07,686.86
unique,6,24825,10.12,JJ|NN,638.41,614.27
uniquely,8,1418,7.26,RB,870.44,802.04
uniqueness,10,698,6.55,NN,748.61,744.68
unisex,6,522,6.26,JJ,685.16,726.96
unison,6,860,6.76,NN,817.57,682
Unitarian,9,476,6.17,NN,974.74,883.26
Unitarianism,12,27,3.3,NN,1082.92,1036.14
Unitarians,10,83,4.42,NN,1161.45,1088.72
unite,5,2309,7.74,VB,617.94,648.5
united,6,82140,11.32,JJ|VB|NN,685.26,780.93
unities,7,12,2.48,NN,742.2,861.16
uniting,7,493,6.2,VB|JJ,900.76,754.45
unitized,8,18,2.89,VB,984.77,1102
units,5,25578,10.15,NN,631.09,633.25
unity,5,5213,8.56,NN,628.82,673.42
univalent,9,3,1.1,JJ,1538.75,1154.63
universal,9,17449,9.77,JJ|NN,652.07,606.89
universalistic,14,10,2.3,NULL,932.67,1019.06
universality,12,349,5.86,NN,1028.61,824.63
universalize,12,10,2.3,VB,924.15,854.28
universally,11,2635,7.88,RB,843.06,740.73
universals,10,116,4.75,NN,737,745.96
universe,8,35314,10.47,NN,637.21,675.03
university's,12,1578,7.36,encl,1009.82,757.43
unjust,6,1787,7.49,JJ|NN,739.03,586.22
universities,12,8791,9.08,NN,854.67,722.33
university,10,238281,12.38,NN,811.09,712.07
unjustifiable,13,141,4.95,JJ,910.43,658.6
unjustified,11,649,6.48,JJ,736.65,628.82
unkempt,7,74,4.3,JJ,868.89,666.84
unkind,6,313,5.75,JJ,633.88,539.08
unknowing,9,229,5.43,JJ,747.72,617.04
unknowingly,11,515,6.24,RB,757.29,634.64
tungsten,8,367,5.91,NN|JJ,767.63,808.95
tunic,5,304,5.72,NN,738.57,685.08
tuning,6,7073,8.86,VB|NN,702,666.68
Tunisia,7,615,6.42,NN,902.24,951.43
tunnel,6,7452,8.92,NN,562.68,648.25
tunneled,8,30,3.4,VB|JJ,830.43,707.74
tunnels,7,1505,7.32,NN,612.44,640.29
turban,6,268,5.59,NN,859.78,673.5
turbid,6,39,3.66,JJ,800.61,672.5
turbidity,9,42,3.74,NN,815.46,930.06
turbine,7,1035,6.94,NN,834.52,697.36
turbines,8,409,6.01,NN,768.32,803.32
turbojet,8,64,4.16,NN,1056.82,827.26
turbulence,10,761,6.63,NN,748.94,688.12
turbulent,9,611,6.42,JJ,763.37,761.5
turd,4,573,6.35,NN,850.29,674.92
turf,4,1128,7.03,NN|VB,721.34,604.79
turgid,6,192,5.26,JJ,965.13,800.48
turgidity,9,12,2.48,NN,614.33,971.75
Turin,5,385,5.95,NN,980.13,704.29
Turk,4,2342,7.76,NN,701.07,659.31
turkey,6,13802,9.53,NN,583.62,597.56
turkeys,7,411,6.02,NN,589.66,623.11
Turkish,7,12314,9.42,NN|JJ,703.21,645.04
Turks,5,4038,8.3,NN,717.38,625.1
turmeric,8,248,5.51,NN,729.5,982.36
turmoil,7,1056,6.96,NN,681.04,655.11
turn,4,89685,11.4,VB|NN,585.3,596.77
turnabout,9,199,5.29,NN,778.46,722.69
turnaround,10,1200,7.09,NN,791.62,676.08
turncoat,8,53,3.97,NN,741.97,758.22
turned,6,51056,10.84,VB|JJ,714.94,602.81
turner,6,5770,8.66,NN,653.81,659.16
turning,7,19045,9.85,VB|NN,678.14,627.15
turnings,8,34,3.53,NN,740.75,697.39
turnip,6,286,5.66,NN,706.47,713.6
turnips,7,152,5.02,NN,701.31,636.96
turnkey,7,701,6.55,NN,1144.88,821.4
turnoff,7,162,5.09,NN,685.56,652.48
turnout,7,792,6.67,NN,741.06,737.26
turnouts,8,176,5.17,NN,793.97,726.73
turnover,8,1264,7.14,NN,591.55,625.37
turnpike,8,975,6.88,NN,778.38,698.96
turnpikes,9,37,3.61,NN,780.47,674.88
turns,5,26163,10.17,VB|NN,609.22,612.96
turnstile,9,50,3.91,NN,905.47,849.5
turntable,9,703,6.56,NN,855,709.89
turpentine,10,122,4.8,NN,933.32,739.19
turquoise,9,368,5.91,JJ,706.79,726.59
turret,6,583,6.37,NN,799.47,714.65
turrets,7,371,5.92,NN,708,771.35
turtle,6,4483,8.41,NN,672,636.54
turtledove,10,118,4.77,NN,888.81,885.92
turtleneck,10,195,5.27,NN,881.21,712.21
turtles,7,1571,7.36,NN,712.56,672.56
tush,4,147,4.99,minor|VB,798.07,659.77
tusk,4,218,5.38,NN,727.46,668.92
tusks,5,164,5.1,NN,623.03,640.18
tussle,6,92,4.52,NN|VB,760.84,650.67
tutelage,8,136,4.91,NN,996.5,906.38
tutor,5,5385,8.59,NN|VB,604.15,611.65
tutorial,8,6464,8.77,NN,714.78,658.67
tutorials,9,3400,8.13,NN,724.76,793.96
tutoring,8,748,6.62,VB|NN,687.32,704.07
tutors,6,566,6.34,NN|VB,716.47,638.29
tutu,4,142,4.96,NN,937.65,667.08
tux,3,338,5.82,NULL,789.82,597.7
tuxedo,6,633,6.45,NN,731.09,640.32
tuxedoed,8,4,1.39,JJ,1038.39,878.39
Twain,5,3182,8.07,NN,716.57,643.77
Twain's,7,92,4.52,NULL,698.13,662.33
twang,5,199,5.29,NN|VB,860.33,665.04
tweak,5,1453,7.28,NN|VB,779.23,654.08
tweed,5,334,5.81,NN,827.79,701.26
tweedy,6,34,3.53,JJ,916.52,625.42
tweet,5,270,5.6,VB|NN,724.19,627.58
tweezed,7,5,1.61,VB,722.23,648.64
tweezer,7,218,5.38,NN,780.36,678.96
twelfth,7,506,6.23,JJ|NN,795.85,683.78
twelve,6,6793,8.82,minor|NN,681.84,635.19
twenties,8,833,6.73,NN,652.28,692.81
twentieth,9,1588,7.37,JJ|NN,908.65,691.07
twenty,6,10756,9.28,minor|NN,666.09,640.36
twerp,5,246,5.51,NN,893.29,717.04
twice,5,46140,10.74,RB|JJ,646.58,603.18
twiddle,7,4721,8.46,NN|VB,801.04,681.46
twig,4,240,5.48,NN|VB,648.52,616.71
twigged,7,16,2.77,VB,866.14,717.93
twigs,5,282,5.64,NN|VB,623.45,585.65
twilight,8,2616,7.87,NN,743.48,660.74
twill,5,72,4.28,NN,817.36,625.36
twin,4,7940,8.98,JJ|NN|VB,606.03,613.04
twine,5,324,5.78,NN,764.73,639.67
twined,6,51,3.93,VB,842.88,697.5
twinge,6,220,5.39,NN|VB,729.96,713.68
twinges,7,58,4.06,NN|VB,766.64,791.57
twinkle,7,506,6.23,NN|VB,666.82,667.18
twinkling,9,208,5.34,VB|JJ|NN,659.81,669.21
twins,5,3742,8.23,NN|VB,605.55,609.21
twirl,5,168,5.12,VB|NN,674.27,647.07
twirled,7,96,4.56,JJ,745.66,695.07
twirler,7,5,1.61,NN,812.56,714.22
twirling,8,193,5.26,VB,736.97,644.48
twirlingly,10,0,0,NULL,1083,976.61
twist,5,9435,9.15,NN|VB,671.19,606.61
twisted,7,6939,8.84,VB|JJ,632.77,634.73
twister,7,6117,8.72,NN,685.16,610.31
twisting,8,2092,7.65,VB,655.88,609.8
twists,6,1082,6.99,NN|VB,717.38,620.71
twisty,6,307,5.73,JJ,679.22,628.19
twit,4,1498,7.31,NN|VB,865.46,651.31
twitch,6,786,6.67,NN|VB,717.83,636.96
twitched,8,300,5.7,VB,729.16,678.59
twitcher,8,4,1.39,NN,776,723.5
twitching,9,572,6.35,VB,697.07,643.93
twitter,7,29,3.37,NN|VB,830.13,732.77
twittered,9,6,1.79,VB,744,791.12
twittering,10,36,3.58,VB|NN|JJ,801.28,775.37
two,3,456473,13.03,minor|NN,541.06,606.96
twofaced,8,5,1.61,JJ,856.81,705.27
twofold,7,316,5.76,JJ|RB,801.58,752.12
twopence,8,20,3,NN,1135.86,954.05
twopenny,8,20,3,JJ,1068.17,907.04
twos,4,184,5.21,NN,743.14,732.39
twosome,7,66,4.19,NN,918.2,729.29
twotiming,9,0,0,NULL,807.8,987.8
tycoon,6,694,6.54,NN,714.96,610.92
tying,5,1749,7.47,VB,791.97,679.85
tyke,4,111,4.71,NN,787.54,632.93
Tyler,5,2646,7.88,NN,693.61,634.74
type,4,157464,11.97,NN|VB,563.79,610.36
typecast,8,146,4.98,VB|JJ,808.39,646.59
typed,5,5642,8.64,VB,600.94,617
typeface,8,888,6.79,NN,822.4,701.29
types,5,45567,10.73,NN|VB,570.41,625.37
typescript,10,69,4.23,NN,905.32,839.33
typeset,7,594,6.39,NN|VB|JJ,1032,809.45
typesetting,11,1048,6.95,NN|VB,915.59,728.86
typewrite,9,9,2.2,VB,854.26,666.04
typewriter,10,1111,7.01,NN,716.16,657.44
typewriters,11,349,5.86,NN,850.65,662.69
typewritten,11,187,5.23,JJ,883.91,681
typhoid,7,245,5.5,NN,804.57,830.85
typewriting,11,14,2.64,NN,761.61,679.72
typhoon,7,1691,7.43,NN,757.48,678.62
typhus,6,94,4.54,NN,934.33,850.62
typical,7,21919,10,JJ,616.85,637.84
typicality,10,1,0,NN,865.1,790.08
typically,9,15489,9.65,RB,728.23,674.07
typified,8,145,4.98,VB,731.83,888.21
typify,6,84,4.43,VB,803.6,801.05
typifying,9,7,1.95,VB|NN,949.95,910.79
typing,6,12039,9.4,NN|VB,623.87,585.64
typographic,11,248,5.51,JJ,935.81,966.55
typography,10,484,6.18,NN,869.71,975.52
typology,8,257,5.55,NN,981.61,861.23
tyrannical,10,538,6.29,JJ,710.4,819.82
tyrannize,9,19,2.94,VB,911.73,973.46
tyrannosaurus,13,67,4.2,NN,1003.96,1017.58
tyranny,7,2708,7.9,NN,713.38,829.08
tyrant,6,867,6.77,NN|JJ,769.12,637.69
tyrants,7,1130,7.03,NN,711.88,705.59
Tyson,5,1557,7.35,NN,652.3,603.72
ubiquitous,10,914,6.82,JJ,939.22,945
ubiquity,8,89,4.49,NN,978.35,835.35
udder,5,133,4.89,NN,783.61,650.12
Uganda,6,421,6.04,NN,828.38,904
ugh,3,1931,7.57,minor|NN,792.05,711.62
uglier,6,349,5.86,JJ,736.33,623.23
ugliness,8,399,5.99,NN,887,658.11
ugly,4,11466,9.35,JJ,574.29,561.43
Ukrainian,9,2658,7.89,JJ|NN,894.1,895.96
Ukrainians,10,598,6.39,NN,945.92,922.45
ukulele,7,64,4.16,NN,891.17,1091.62
ulcer,5,398,5.99,NN,697.69,643.65
ulcerate,8,4,1.39,VB,1001.63,951.84
ulcerated,9,13,2.56,VB|JJ,1021.67,898.52
ulceration,10,150,5.01,NN,915.42,844.68
ulcerations,11,48,3.87,NN,1123.61,831.09
ulna,4,16,2.77,NN,904.33,740
ulterior,8,402,6,NN,955.46,803.26
ultimate,8,16369,9.7,JJ|NN,653.69,632.85
ultimately,10,8695,9.07,RB,726.17,706.38
ultimatum,9,304,5.72,NN,953.19,840.17
umber,5,69,4.23,JJ|NN,799.9,590.04
ultramarine,11,40,3.69,NN,1057.5,941.81
ultramodern,11,5,1.61,JJ,1079.96,788.64
ultrasonic,10,566,6.34,JJ,906.27,799.08
ultrasonically,14,7,1.95,RB,1184.15,1053.5
ultraviolet,11,1183,7.08,JJ|NN,829.58,730.46
umbilical,9,251,5.53,JJ,983.58,827.57
umbrage,7,149,5,NN,1009.75,866.44
umbrella,8,1930,7.57,NN,655.21,597.25
umbrellas,9,239,5.48,NN,766.86,626.93
umpire,6,1051,6.96,NN,882.5,671.19
umpteen,7,268,5.59,NN,1204.5,798.75
umpteenth,9,213,5.36,JJ,1048.58,989.32
unabashed,9,192,5.26,JJ,863.4,743.26
unabated,8,208,5.34,JJ,1094.15,733.76
unable,6,24024,10.09,JJ,627.75,675.77
unabridged,10,475,6.16,JJ,812.08,700.96
unacceptable,12,3459,8.15,JJ,735.23,651.35
unambiguous,11,720,6.58,JJ,1036.59,892
unamused,8,18,2.89,JJ,901.73,747.46
unanalyzed,10,3,1.1,JJ,1105.43,949.5
unaccompanied,13,165,5.11,JJ,1011.18,828.26
unaccountable,13,104,4.64,JJ,789.73,759.42
unaccountably,13,59,4.08,RB,876.31,782.2
unaccustomed,12,111,4.71,JJ,919.58,760.24
unachievable,12,29,3.37,JJ|NN,1001,687.58
unachieved,10,3,1.1,JJ,910.1,709.35
unacknowledged,14,105,4.65,JJ,1059.62,867.96
unacquainted,12,31,3.43,JJ,995.96,881.11
unadjusted,10,26,3.26,JJ,981.31,762.14
unadopted,9,12,2.48,JJ,918.48,764.42
unadorned,9,77,4.34,JJ,1052.81,826.48
unadulterated,13,341,5.83,JJ,1090.48,835.92
unadvised,9,2,0.69,JJ,905.1,767.08
unaffected,10,849,6.74,JJ,808,717.22
unafraid,8,103,4.63,JJ,901.67,669.5
unaggressive,12,7,1.95,JJ,908.58,708.07
unaided,7,164,5.1,JJ,859,780.86
unalloyed,9,122,4.8,JJ,1118.22,831
unalterably,11,27,3.3,RB,1103.15,890.05
unambiguity,11,3,1.1,NN,1049,935.29
unalienable,11,382,5.95,JJ,1075.21,781.23
unalterable,11,60,4.09,JJ,1096.72,947.42
unanimity,9,147,4.99,NN,970,744.67
unanimous,9,914,6.82,JJ,846.93,796.5
