Cues,Targets,Forward Strength,Backward Strength,Cue Set Size,# Cue Competitors,Cue Frequency (K&F)
cabin,ship,0.014,0,9,7,23
cabin,wood,0.027,0,9,5,23
cabin,woods,0.143,0.026,9,4,23
cabinet,book,0.014,0,16,13,17
cabinet,closet,0.028,0,16,10,17
cabinet,counter,0.021,0,16,12,17
cabinet,cupboard,0.048,0.151,16,8,17
cabinet,desk,0.021,0,16,9,17
cabinet,dishes,0.041,0,16,12,17
cabinet,door,0.097,0,16,12,17
cabinet,drawer,0.069,0.024,16,10,17
cabinet,file,0.021,0.245,16,13,17
cabinet,food,0.028,0,16,10,17
cabinet,kitchen,0.152,0.02,16,10,17
cabinet,maker,0.062,0,16,15,17
cabinet,plate,0.021,0,16,14,17
cabinet,shelf,0.09,0.086,16,6,17
cabinet,storage,0.041,0,16,11,17
cabinet,wood,0.083,0,16,11,17
cable,box,0.014,0,8,5,7
cable,car,0.034,0,8,5,7
cable,cord,0.034,0,8,3,7
cable,hbo,0.014,missing,8,7,7
cable,rope,0.014,0,8,5,7
cable,television,0.689,0.014,8,5,7
cable,unit,0.014,0,8,6,7
cable,wire,0.088,0,8,5,7
caboose,car,0.018,0,8,5,0
caboose,end,0.085,0,8,5,0
caboose,engine,0.048,0,8,4,0
caboose,indian,0.012,0,8,6,0
caboose,last,0.012,0,8,6,0
caboose,red,0.012,0,8,5,0
caboose,tail,0.018,0,8,6,0
caboose,train,0.721,0.051,8,5,0
cactus,arizona,0.014,missing,15,14,0
cactus,club,0.014,0,15,13,0
cactus,desert,0.136,0.022,15,12,0
cactus,flower,0.021,0,15,12,0
cactus,green,0.014,0,15,12,0
cactus,hot,0.021,0,15,12,0
cactus,juice,0.014,0,15,13,0
cactus,needle,0.021,0,15,9,0
cactus,ouch,0.021,0,15,12,0
cactus,plant,0.321,0,15,10,0
cactus,point,0.021,0,15,10,0
cactus,prickly,0.193,0.137,15,9,0
cactus,sharp,0.057,0,15,9,0
cactus,spine,0.043,0,15,13,0
cactus,thorn,0.043,0,15,8,0
cafe,au lait,0.02,missing,15,12,20
cafe,cappuccino,0.014,missing,15,12,20
cafe,coffee,0.324,0,15,11,20
cafe,corner,0.014,0,15,11,20
cafe,diner,0.041,0.073,15,6,20
cafe,dinner,0.014,0,15,6,20
cafe,eat,0.041,0,15,5,20
cafe,food,0.162,0,15,4,20
cafe,french,0.014,0,15,10,20
cafe,hard rock,0.014,missing,15,12,20
cafe,lunch,0.02,0,15,6,20
cafe,restaurant,0.108,0.03,15,7,20
cafe,sandwich,0.014,0,15,8,20
cafe,shop,0.014,0,15,11,20
cafe,sidewalk,0.014,0.021,15,11,20
cafeteria,cafe,0.013,0,9,3,15
cafeteria,eat,0.027,0,9,3,15
cafeteria,food,0.593,0,9,1,15
cafeteria,lunch,0.133,0,9,2,15
cafeteria,mess,0.013,0,9,6,15
cafeteria,morrison's,0.013,missing,9,8,15
cafeteria,restaurant,0.04,0,9,4,15
cafeteria,school,0.02,0,9,6,15
cafeteria,tray,0.013,0.061,9,5,15
caffeine,coffee,0.493,0.076,13,7,0
caffeine,coke,0.185,0,13,5,0
caffeine,cola,0.014,missing,13,9,0
caffeine,drug,0.027,0,13,7,0
caffeine,free,0.021,0,13,8,0
caffeine,good,0.014,0,13,8,0
caffeine,hyper,0.048,0,13,8,0
caffeine,jolt,0.014,missing,13,9,0
caffeine,mountain dew,0.014,missing,13,9,0
caffeine,pepsi,0.014,0.014,13,6,0
caffeine,soda,0.055,0,13,6,0
caffeine,stimulant,0.014,missing,13,9,0
caffeine,tea,0.021,0,13,7,0
cage,animal,0.294,0.011,18,9,9
cage,bar,0.063,0,18,12,9
cage,bird,0.168,0.015,18,12,9
cage,cell,0.014,0,18,12,9
cage,confine,0.014,missing,18,15,9
cage,enclose,0.021,missing,18,15,9
cage,hold,0.021,0,18,14,9
cage,jail,0.063,0,18,9,9
cage,lion,0.035,0,18,12,9
cage,lock,0.021,0,18,13,9
cage,metal,0.014,0,18,14,9
cage,monkey,0.014,0.021,18,12,9
cage,pen,0.014,0,18,14,9
cage,prison,0.049,0,18,11,9
cage,restraint,0.014,missing,18,15,9
cage,trap,0.028,0.038,18,13,9
cage,wire,0.035,0,18,14,9
cage,zoo,0.014,0.031,18,11,9
cake,bake,0.033,0.402,19,15,13
cake,birthday,0.087,0.192,19,17,13
cake,chocolate,0.087,0.061,19,9,13
cake,cookie,0.016,0.033,19,11,13
cake,cream,0.016,0,19,16,13
cake,diet,0.011,0,19,15,13
cake,eat,0.076,0,19,12,13
cake,fat,0.027,0,19,12,13
cake,food,0.049,0,19,8,13
cake,frosting,0.027,0.623,19,15,13
cake,good,0.033,0,19,12,13
cake,ice cream,0.12,0,19,13,13
cake,icing,0.054,0.812,19,14,13
cake,mix,0.033,0.083,19,17,13
cake,party,0.022,0.033,19,16,13
cake,pie,0.071,0.168,19,11,13
cake,sweet,0.027,0,19,10,13
cake,walk,0.033,0,19,18,13
cake,yummy,0.016,0,19,13,13
calcium,bone,0.153,0,12,6,11
calcium,carbonate,0.013,missing,12,8,11
calcium,deficiency,0.013,missing,12,8,11
calcium,deposit,0.06,0,12,6,11
calcium,iron,0.033,0,12,5,11
calcium,milk,0.413,0.012,12,7,11
calcium,mineral,0.04,0,12,4,11
calcium,pill,0.013,0,12,6,11
calcium,potassium,0.02,missing,12,8,11
calcium,tablets,0.013,missing,12,8,11
calcium,teeth,0.013,0,12,6,11
calcium,vitamin,0.107,0,12,4,11
calculate,add,0.129,0,15,8,4
calculate,calculator,0.029,0,15,9,4
calculate,compute,0.058,0.149,15,6,4
calculate,computer,0.029,0,15,11,4
calculate,determine,0.029,0.014,15,11,4
calculate,figure,0.223,0,15,5,4
calculate,manipulate,0.014,missing,15,14,4
calculate,math,0.273,0,15,4,4
calculate,number,0.022,0,15,11,4
calculate,punch,0.014,0,15,13,4
calculate,record,0.014,0,15,13,4
calculate,solve,0.014,0,15,10,4
calculate,subtract,0.014,0,15,11,4
calculate,think,0.029,0,15,9,4
calculate,work,0.014,0,15,11,4
calculator,add,0.023,0,12,9,1
calculator,answer,0.015,0,12,11,1
calculator,button,0.023,0,12,11,1
calculator,calculus,0.015,0.014,12,10,1
calculator,computer,0.023,0.014,12,9,1
calculator,help,0.023,0,12,11,1
calculator,machine,0.015,0,12,9,1
calculator,math,0.496,0.012,12,7,1
calculator,numbers,0.16,0,12,9,1
calculator,science,0.015,0,12,9,1
calculator,tool,0.015,0,12,10,1
calculator,watch,0.023,0,12,11,1
calculus,algebra,0.02,0.079,7,3,0
calculus,calculator,0.014,0.015,7,5,0
calculus,difficult,0.041,0,7,5,0
calculus,gross,0.014,0,7,6,0
calculus,hard,0.101,0,7,2,0
calculus,math,0.709,0.079,7,2,0
calculus,trigonometry,0.014,0.085,7,3,0
calendar,date,0.305,0.063,8,1,28
calendar,day,0.13,0,8,3,28
calendar,event,0.019,0,8,5,28
calendar,girl,0.078,0,8,6,28
calendar,month,0.149,0,8,3,28
calendar,schedule,0.013,0.021,8,6,28
calendar,time,0.045,0,8,1,28
calendar,year,0.117,0.032,8,3,28
calf,animal,0.012,0,7,5,11
calf,baby,0.036,0,7,5,11
calf,cow,0.697,0.194,7,3,11
calf,leg,0.121,0,7,5,11
calf,liver,0.012,0,7,5,11
calf,thigh,0.048,0.028,7,5,11
calf,veal,0.012,0.05,7,4,11
california,beach,0.074,0,19,7,65
california,coast,0.02,0.012,19,11,65
california,dreaming,0.013,missing,19,15,65
california,earthquake,0.04,0.083,19,13,65
california,florida,0.047,0,19,8,65
california,girls,0.02,0,19,13,65
california,hot,0.013,0,19,11,65
california,hotel,0.013,0.047,19,14,65
california,los angeles,0.094,0.248,19,10,65
california,nevada,0.013,missing,19,15,65
california,new york,0.047,0,19,13,65
california,raisins,0.034,missing,19,15,65
california,san francisco,0.027,missing,19,15,65
california,smog,0.013,0,19,13,65
california,state,0.101,0,19,11,65
california,sun,0.087,0,19,10,65
california,sunshine,0.013,0,19,9,65
california,surf,0.054,0,19,12,65
california,west,0.054,0.039,19,13,65
call,answer,0.061,0.016,15,12,188
call,collect,0.047,0.014,15,14,188
call,dial,0.02,0.019,15,12,188
call,girl,0.02,0,15,14,188
call,holler,0.014,0,15,13,188
call,home,0.02,0,15,13,188
call,listen,0.014,0,15,13,188
call,mom,0.014,0,15,14,188
call,need,0.014,0,15,14,188
call,phone,0.378,0.283,15,9,188
call,ring,0.014,0.02,15,12,188
call,talk,0.034,0,15,9,188
call,telephone,0.128,0.229,15,11,188
call,wait,0.034,0,15,14,188
call,yell,0.054,0,15,12,188
calm,anxious,0.016,0.014,14,11,35
calm,collected,0.032,missing,14,13,35
calm,cool,0.032,0,14,11,35
calm,crazy,0.016,0,14,11,35
calm,nervous,0.071,0.014,14,10,35
calm,peace,0.063,0.056,14,9,35
calm,peaceful,0.032,0.106,14,8,35
calm,quiet,0.111,0,14,7,35
calm,relax,0.071,0.101,14,8,35
calm,sea,0.063,0,14,12,35
calm,serene,0.056,0.213,14,8,35
calm,storm,0.016,0,14,12,35
calm,tranquil,0.048,0.158,14,8,35
calm,wild,0.04,0.048,14,11,35
calorie,coke,0.014,0,9,7,1
calorie,count,0.027,0,9,8,1
calorie,diet,0.075,0,9,4,1
calorie,energy,0.027,0,9,8,1
calorie,fat,0.411,0,9,5,1
calorie,food,0.185,0,9,6,1
calorie,heat,0.034,0,9,8,1
calorie,many,0.014,0,9,8,1
calorie,weight,0.075,0,9,6,1
calories,burn,0.04,0,11,9,7
calories,counter,0.013,0,11,9,7
calories,diet,0.047,0,11,5,7
calories,eat,0.013,0,11,6,7
calories,energy,0.027,0,11,9,7
calories,fat,0.527,0,11,5,7
calories,fattening,0.013,0.099,11,6,7
calories,few,0.013,0,11,9,7
calories,good,0.14,0,11,9,7
calories,kilo,0.013,missing,11,10,7
calories,weight,0.087,0,11,7,7
camel,animal,0.101,0,11,7,1
camel,back,0.014,0,11,9,1
camel,cigarette,0.196,0,11,8,1
camel,desert,0.277,0,11,8,1
camel,donkey,0.014,0,11,7,1
camel,egypt,0.02,0,11,8,1
camel,horse,0.014,0,11,7,1
camel,hump,0.149,missing,11,10,1
camel,smoke,0.041,0,11,8,1
camel,tall,0.014,0,11,9,1
camel,water,0.034,0,11,9,1
camera,case,0.034,0,8,6,36
camera,eye,0.021,0,8,5,36
camera,film,0.166,0.116,8,5,36
camera,flash,0.041,0.138,8,6,36
camera,kodak,0.034,missing,8,7,36
camera,lens,0.09,0.076,8,5,36
camera,photo,0.055,0.112,8,5,36
camera,picture,0.441,0.051,8,4,36
camp,cabin,0.02,0.02,19,16,75
camp,canoe,0.013,0,19,16,75
camp,child,0.026,0,19,15,75
camp,country,0.013,0,19,16,75
camp,david,0.033,missing,19,18,75
camp,day,0.02,0,19,16,75
camp,fire,0.139,0,19,17,75
camp,fun,0.079,0,19,14,75
camp,ground,0.026,0,19,17,75
camp,kid,0.02,0,19,16,75
camp,lake,0.02,0,19,16,75
camp,mosquito,0.026,0,19,16,75
camp,night,0.013,0,19,16,75
camp,scout,0.04,0,19,17,75
camp,site,0.026,0.026,19,17,75
camp,summer,0.099,0,19,14,75
camp,swim,0.013,0,19,13,75
camp,tent,0.126,0.459,19,16,75
camp,woods,0.026,0,19,14,75
campaign,candidate,0.014,0.014,15,7,94
campaign,drink,0.014,0,15,13,94
campaign,election,0.186,0.021,15,10,94
campaign,fund,0.014,0,15,13,94
campaign,government,0.014,0,15,10,94
campaign,money,0.014,0,15,13,94
campaign,party,0.014,0,15,13,94
campaign,politics,0.2,0.014,15,8,94
campaign,president,0.164,0,15,8,94
campaign,run,0.021,0,15,13,94
campaign,senator,0.014,0,15,11,94
campaign,slogan,0.079,0.033,15,13,94
campaign,trail,0.021,0,15,14,94
campaign,vote,0.029,0.019,15,9,94
campaign,winner,0.014,0,15,13,94
camping,bugs,0.013,missing,17,15,18
camping,canoeing,0.013,missing,17,15,18
camping,fire,0.079,0,17,13,18
camping,fishing,0.046,0,17,14,18
camping,forest,0.013,0,17,9,18
camping,fun,0.039,0,17,12,18
camping,ground,0.118,0,17,14,18
camping,hiking,0.046,0.04,17,8,18
camping,mosquito,0.02,0,17,14,18
camping,mountain,0.013,0,17,12,18
camping,nature,0.013,0,17,9,18
camping,out,0.02,0,17,13,18
camping,outdoors,0.059,0.099,17,10,18
camping,tent,0.224,0,17,12,18
camping,trip,0.039,0,17,12,18
camping,wilderness,0.033,0.061,17,11,18
camping,woods,0.072,0,17,7,18
campus,big,0.027,0,12,7,18
campus,classes,0.014,missing,12,9,18
campus,college,0.115,0,12,6,18
campus,cop,0.014,0,12,8,18
campus,girls,0.014,0,12,8,18
campus,large,0.014,0,12,6,18
campus,people,0.014,0,12,8,18
campus,school,0.466,0,12,6,18
campus,students,0.02,missing,12,9,18
campus,university,0.068,0,12,5,18
campus,usf,0.101,missing,12,9,18
campus,walk,0.014,0,12,8,18
can,able,0.027,0.196,20,16,1772
can,aluminum,0.081,0.315,20,17,1772
can,beer,0.074,0.049,20,16,1772
can,bottle,0.047,0,20,11,1772
can,can't,0.041,missing,20,19,1772
can,coke,0.061,0,20,14,1772
can,cup,0.02,0,20,14,1772
can,do,0.041,0,20,17,1772
can,drink,0.041,0,20,10,1772
can,food,0.027,0,20,16,1772
can,garbage,0.041,0.128,20,17,1772
can,jar,0.047,0.082,20,15,1772
can,lid,0.014,0.022,20,17,1772
can,opener,0.047,0.768,20,17,1772
can,pepsi,0.014,0,20,14,1772
can,soda,0.074,0.034,20,14,1772
can,soup,0.034,0.018,20,15,1772
can,tin,0.068,0.503,20,16,1772
can,trash,0.014,0.212,20,17,1772
can,will,0.041,0,20,17,1772
canal,birth,0.011,0,18,14,3
canal,boat,0.065,0,18,11,3
canal,creek,0.011,0,18,10,3
canal,dirty,0.011,0,18,14,3
canal,ditch,0.011,0.031,18,13,3
canal,dog,0.011,0,18,13,3
canal,erie,0.071,missing,18,15,3
canal,house,0.011,0,18,11,3
canal,lake,0.022,0,18,10,3
canal,panama,0.12,missing,18,15,3
canal,river,0.114,0,18,9,3
canal,root,0.033,0.094,18,14,3
canal,stream,0.016,0,18,10,3
canal,street,0.011,0,18,13,3
canal,suez,0.011,missing,18,15,3
canal,tooth,0.011,0,18,14,3
canal,water,0.25,0,18,8,3
canal,zone,0.016,0,18,14,3
canary,bird,0.692,0.03,4,0,0
canary,sing,0.032,0,4,1,0
canary,song,0.016,0,4,1,0
canary,yellow,0.111,0,4,2,0
cancer,breast,0.014,0.028,13,12,25
cancer,cure,0.014,0.035,13,9,25
cancer,death,0.291,0,13,8,25
cancer,die,0.074,0,13,9,25
cancer,disease,0.23,0.035,13,8,25
cancer,hospital,0.027,0,13,7,25
cancer,ill,0.02,0,13,9,25
cancer,kill,0.02,0,13,10,25
cancer,lung,0.02,0.15,13,10,25
cancer,patient,0.027,0,13,10,25
cancer,sick,0.108,0,13,6,25
cancer,smoke,0.02,0.031,13,11,25
cancer,tumor,0.02,0.351,13,7,25
candidate,campaign,0.014,0.014,17,4,34
candidate,competitor,0.014,missing,17,12,34
candidate,contender,0.014,missing,17,12,34
candidate,contestant,0.021,missing,17,12,34
candidate,elect,0.027,0.011,17,7,34
candidate,election,0.158,0.079,17,6,34
candidate,jerk,0.014,0,17,11,34
candidate,nominee,0.014,missing,17,12,34
candidate,person,0.021,0,17,11,34
candidate,politician,0.075,0,17,5,34
candidate,politics,0.089,0,17,4,34
candidate,president,0.226,0,17,5,34
candidate,representative,0.014,missing,17,12,34
candidate,republican,0.014,0,17,10,34
candidate,run,0.027,0,17,10,34
candidate,vote,0.014,0.013,17,5,34
candidate,winner,0.021,0,17,10,34
candle,burn,0.08,0,8,5,18
candle,fire,0.036,0,8,4,18
candle,flame,0.123,0.016,8,4,18
candle,light,0.29,0,8,5,18
candle,lit,0.029,0.075,8,4,18
candle,stick,0.058,0,8,6,18
candle,wax,0.203,0.166,8,7,18
candle,wick,0.051,0.841,8,5,18
candy,apple,0.035,0,14,13,16
candy,baby,0.014,0,14,12,16
candy,bar,0.105,0,14,12,16
candy,calories,0.028,0,14,11,16
candy,cane,0.091,0.072,14,12,16
candy,child,0.014,0,14,12,16
candy,chocolate,0.049,0.196,14,9,16
candy,fattening,0.021,0.039,14,10,16
candy,good,0.049,0,14,10,16
candy,gum,0.049,0.081,14,13,16
candy,junk,0.014,0,14,13,16
candy,store,0.021,0,14,13,16
candy,sugar,0.049,0.024,14,10,16
candy,sweet,0.336,0.162,14,10,16
cane,able,0.05,0,14,11,12
cane,candy,0.072,0.091,14,9,12
cane,cripple,0.022,missing,14,12,12
cane,crutch,0.036,0.042,14,7,12
cane,elderly,0.036,0,14,9,12
cane,limp,0.036,0,14,9,12
cane,man,0.014,0,14,10,12
cane,miami,0.022,missing,14,12,12
cane,old,0.18,0,14,8,12
cane,stick,0.029,0,14,8,12
cane,sugar,0.273,0.079,14,10,12
cane,walk,0.029,0,14,9,12
cane,walker,0.014,0.047,14,9,12
cane,wood,0.036,0,14,9,12
cannon,ball,0.196,0,16,15,7
cannon,big,0.014,0,16,15,7
cannon,black,0.014,0,16,15,7
cannon,bomb,0.034,0,16,12,7
cannon,camera,0.034,0,16,15,7
cannon,deep,0.014,0,16,15,7
cannon,fire,0.041,0,16,12,7
cannon,gun,0.135,0,16,11,7
cannon,loud,0.034,0,16,13,7
cannon,pirate,0.014,0,16,14,7
cannon,printer,0.014,0,16,14,7
cannon,rocks,0.014,0,16,15,7
cannon,ship,0.02,0,16,14,7
cannon,shoot,0.02,0,16,13,7
cannon,war,0.128,0,16,12,7
cannon,weapon,0.034,0,16,13,7
canoe,boat,0.429,0.016,8,2,7
canoe,indian,0.076,0,8,7,7
canoe,oar,0.025,0.043,8,4,7
canoe,paddle,0.084,0.088,8,3,7
canoe,river,0.076,0.055,8,4,7
canoe,row,0.042,0,8,4,7
canoe,swim,0.034,0,8,4,7
canoe,water,0.118,0,8,4,7
canvas,art,0.039,0.027,16,10,19
canvas,bag,0.033,0,16,13,19
canvas,boat,0.02,0,16,14,19
canvas,bookbag,0.013,0,16,12,19
canvas,clothes,0.013,0,16,12,19
canvas,cover,0.02,0,16,13,19
canvas,green,0.013,0,16,12,19
canvas,material,0.02,0,16,13,19
canvas,oil,0.02,0,16,13,19
canvas,paint,0.118,0,16,10,19
canvas,painter,0.02,0.02,16,11,19
canvas,painting,0.111,0.014,16,10,19
canvas,picture,0.02,0,16,10,19
canvas,shoes,0.124,0,16,14,19
canvas,tarp,0.052,missing,16,15,19
canvas,tent,0.196,0,16,13,19
canvass,art,0.074,0,17,13,3
canvass,bag,0.081,0,17,13,3
canvass,boat,0.02,0,17,15,3
canvass,cloth,0.014,0,17,13,3
canvass,cover,0.074,0,17,14,3
canvass,hard,0.014,0,17,15,3
canvass,leather,0.014,0,17,12,3
canvass,material,0.061,0,17,12,3
canvass,oil,0.014,0,17,14,3
canvass,paint,0.061,0,17,13,3
canvass,painting,0.101,0,17,12,3
canvass,paper,0.014,0,17,13,3
canvass,sell,0.02,0,17,15,3
canvass,shoes,0.068,0,17,13,3
canvass,sneakers,0.014,0,17,14,3
canvass,tarp,0.034,missing,17,16,3
canvass,tent,0.088,0,17,15,3
canyon,care,0.013,0,12,11,12
canyon,color,0.02,0,12,10,12
canyon,crevice,0.013,0,12,8,12
canyon,deep,0.04,0,12,8,12
canyon,desert,0.02,0,12,11,12
canyon,grand,0.483,0.095,12,11,12
canyon,high,0.013,0,12,10,12
canyon,hole,0.034,0,12,9,12
canyon,mountain,0.054,0,12,8,12
canyon,red,0.02,0,12,10,12
canyon,rock,0.034,0,12,9,12
canyon,valley,0.06,0.04,12,9,12
cap,baseball,0.016,0.027,6,4,27
cap,bottle,0.024,0.06,6,5,27
cap,gown,0.063,0,6,5,27
cap,gun,0.016,0,6,5,27
cap,hat,0.709,0.06,6,3,27
cap,head,0.102,0,6,4,27
capability,ability,0.282,0.119,12,4,14
capability,able,0.19,0,12,9,14
capability,achievement,0.016,0,12,10,14
capability,can do,0.016,missing,12,11,14
capability,capacity,0.016,0.021,12,8,14
capability,knowledge,0.016,0,12,7,14
capability,potential,0.056,0.022,12,7,14
capability,smart,0.016,0,12,9,14
capability,strength,0.032,0,12,8,14
capability,talent,0.04,0,12,8,14
capability,task,0.016,0,12,10,14
capability,try,0.024,0,12,10,14
capacity,ability,0.086,0.014,23,21,83
capacity,amount,0.05,0,23,17,83
capacity,big,0.014,0,23,19,83
capacity,capability,0.021,0.016,23,21,83
capacity,container,0.014,0,23,21,83
capacity,depth,0.014,0,23,22,83
capacity,fill,0.029,0,23,19,83
capacity,full,0.2,0.013,23,19,83
capacity,hold,0.043,0,23,21,83
capacity,large,0.043,0,23,17,83
capacity,limit,0.021,0.013,23,18,83
capacity,load,0.014,0,23,18,83
capacity,lot,0.014,0,23,17,83
capacity,maximum,0.014,0.033,23,17,83
capacity,most,0.021,0,23,19,83
capacity,none,0.014,0,23,19,83
capacity,number,0.021,0,23,20,83
capacity,room,0.029,0,23,19,83
capacity,size,0.021,0,23,18,83
capacity,space,0.029,0,23,19,83
capacity,volume,0.021,0,23,21,83
capacity,weight,0.029,0,23,20,83
capacity,zero,0.014,0.014,23,20,83
cape,batman,0.026,missing,20,17,20
cape,black,0.013,0,20,12,20
cape,canavral,0.013,missing,20,17,20
cape,cloak,0.013,0.053,20,11,20
cape,clothes,0.013,0,20,14,20
cape,coat,0.033,0,20,12,20
cape,cod,0.052,0.046,20,16,20
cape,coral,0.026,0,20,16,20
cape,dracula,0.046,0,20,14,20
cape,fear,0.386,0,20,15,20
cape,god,0.013,0,20,15,20
cape,hero,0.02,0,20,15,20
cape,hood,0.013,0.103,20,14,20
cape,island,0.013,0,20,15,20
cape,magician,0.026,0,20,15,20
cape,robe,0.02,0,20,13,20
cape,shawl,0.02,missing,20,17,20
cape,superman,0.072,0.045,20,15,20
cape,vampire,0.033,0,20,13,20
cape,water,0.013,0,20,15,20
capital,building,0.027,0,15,8,85
capital,center,0.014,0,15,9,85
capital,city,0.095,0,15,7,85
capital,gains,0.034,missing,15,10,85
capital,head,0.02,0,15,9,85
capital,hill,0.027,0,15,9,85
capital,letters,0.088,0,15,9,85
capital,lowercase,0.02,missing,15,10,85
capital,money,0.095,0,15,9,85
capital,offense,0.014,0,15,9,85
capital,punishment,0.034,0.014,15,9,85
capital,state,0.182,0.021,15,8,85
capital,tallahassee,0.014,missing,15,10,85
capital,uppercase,0.014,missing,15,10,85
capital,washington dc,0.155,missing,15,10,85
captain,army,0.014,0,13,9,85
captain,authority,0.027,0,13,8,85
captain,boat,0.101,0,13,9,85
captain,boss,0.014,0,13,8,85
captain,charge,0.014,0,13,10,85
captain,chief,0.02,0,13,9,85
captain,leader,0.095,0.034,13,9,85
captain,military,0.014,0,13,9,85
captain,navy,0.014,0,13,7,85
captain,sea,0.014,0,13,10,85
captain,sergeant,0.02,0,13,7,85
captain,ship,0.392,0,13,9,85
captain,team,0.027,0,13,12,85
caption,ad,0.014,0,19,14,1
caption,book,0.014,0,19,12,1
caption,cartoon,0.07,0,19,14,1
caption,closed,0.134,0,19,16,1
caption,comics,0.014,missing,19,17,1
caption,deaf,0.021,0,19,15,1
caption,heading,0.035,0,19,14,1
caption,headline,0.021,missing,19,17,1
caption,hearing,0.014,0,19,15,1
caption,movie,0.014,0,19,13,1
caption,newspaper,0.014,0,19,13,1
caption,note,0.014,0,19,15,1
caption,picture,0.063,0,19,13,1
caption,saying,0.049,0,19,15,1
caption,show,0.014,0,19,14,1
caption,television,0.049,0,19,11,1
caption,title,0.028,0,19,14,1
caption,words,0.085,0,19,13,1
caption,writing,0.014,0,19,15,1
captive,animal,0.019,0,21,14,5
captive,audience,0.032,0,21,16,5
captive,capture,0.013,0,21,9,5
captive,caught,0.019,missing,21,17,5
captive,escape,0.019,0.014,21,12,5
captive,free,0.039,0.014,21,11,5
captive,heart,0.013,0,21,16,5
captive,held,0.019,missing,21,17,5
captive,hostage,0.156,0,21,12,5
captive,island,0.032,0,21,15,5
captive,jail,0.026,0,21,11,5
captive,man,0.013,0,21,13,5
captive,native,0.026,0,21,15,5
captive,p.o.w.,0.019,missing,21,17,5
captive,prison,0.039,0,21,12,5
captive,prisoner,0.214,0.123,21,9,5
captive,slave,0.039,0,21,13,5
captive,soldier,0.019,0,21,14,5
captive,traitor,0.013,0,21,15,5
captive,trapped,0.019,missing,21,17,5
captive,war,0.013,0,21,13,5
capture,animal,0.039,0,24,20,17
capture,attack,0.013,0,24,21,17
capture,cage,0.026,0,24,17,17
capture,catch,0.065,0.014,24,18,17
capture,control,0.013,0,24,20,17
capture,criminal,0.02,0,24,19,17
capture,enemy,0.02,0,24,21,17
capture,escape,0.065,0.027,24,19,17
capture,flag,0.026,0,24,21,17
capture,free,0.026,0,24,17,17
capture,get,0.013,0,24,20,17
capture,hold,0.039,0,24,16,17
capture,hostage,0.02,0,24,19,17
capture,jail,0.026,0,24,15,17
capture,keep,0.013,0,24,18,17
capture,kidnap,0.046,0,24,20,17
capture,pirate,0.026,0,24,21,17
capture,pow,0.02,missing,24,23,17
capture,prey,0.013,0,24,20,17
capture,prison,0.013,0,24,16,17
capture,prisoner,0.059,0.023,24,16,17
capture,release,0.033,0.021,24,16,17
capture,seize,0.039,0.109,24,17,17
capture,take,0.078,0,24,17,17
car,auto,0.133,0.784,25,18,274
car,bicycle,0.078,0.041,25,17,274
car,boat,0.061,0,25,20,274
car,bus,0.022,0.252,25,16,274
car,datsun,0.011,missing,25,22,274
car,drive,0.122,0.48,25,14,274
car,engine,0.011,0.359,25,19,274
car,expensive,0.011,0.048,25,19,274
car,fast,0.017,0.024,25,15,274
car,gas,0.039,0.378,25,19,274
car,money,0.011,0,25,19,274
car,plane,0.011,0.028,25,16,274
car,porsche,0.011,missing,25,22,274
car,race,0.011,0.043,25,19,274
car,ride,0.011,0.159,25,15,274
car,road,0.011,0.045,25,17,274
car,speed,0.011,0.149,25,18,274
car,street,0.011,0.077,25,19,274
car,tire,0.011,0.4,25,18,274
car,toyota,0.011,missing,25,22,274
car,train,0.011,0.058,25,14,274
car,transportation,0.033,0.595,25,16,274
car,travel,0.039,0.061,25,17,274
car,truck,0.111,0.264,25,15,274
car,wheel,0.022,0.273,25,18,274
caravan,automobile,0.014,0,21,14,18
caravan,bus,0.014,0,21,8,18
caravan,camel,0.047,0,21,16,18
caravan,car,0.176,0,21,8,18
caravan,desert,0.034,0,21,16,18
caravan,dodge,0.054,missing,21,18,18
caravan,family,0.054,0,21,13,18
caravan,group,0.081,0,21,13,18
caravan,gypsy,0.02,missing,21,18,18
caravan,line,0.02,0,21,16,18
caravan,many,0.014,0,21,15,18
caravan,minivan,0.034,missing,21,18,18
caravan,people,0.014,0,21,12,18
caravan,together,0.014,0,21,15,18
caravan,train,0.014,0,21,14,18
caravan,travel,0.034,0,21,13,18
caravan,trip,0.014,0,21,14,18
caravan,truck,0.034,0,21,12,18
caravan,van,0.095,0,21,10,18
caravan,vehicle,0.027,0,21,12,18
caravan,wagon,0.047,0,21,13,18
carbon,atom,0.013,0,12,6,30
carbon,black,0.033,0,12,8,30
carbon,chemistry,0.013,0,12,6,30
carbon,copy,0.373,0.03,12,7,30
carbon,dating,0.013,missing,12,9,30
carbon,dioxide,0.133,missing,12,9,30
carbon,element,0.02,0.061,12,5,30
carbon,fiber,0.02,0,12,8,30
carbon,monoxide,0.067,missing,12,9,30
carbon,oxygen,0.04,0,12,7,30
carbon,paper,0.133,0,12,6,30
carbon,typewriter,0.013,0,12,7,30
card,ace,0.097,0,21,14,26
card,birthday,0.042,0,21,18,26
card,board,0.024,0,21,16,26
card,catalog,0.018,missing,21,19,26
card,christmas,0.018,0,21,17,26
card,deck,0.097,0.092,21,18,26
card,game,0.248,0.02,21,13,26
