CUE,TARGET, FSG, BSG, QSS, TSS
ACCUSE,CHARGE,0.015,0,20,13
ACCUSE,CLAIM,0.015,0,20,22
ACCUSE,CRIMINAL,0.015,0,20,18
ACCUSE,POLICE,0.015,0,20,19
ACE,CARDS,0.303,0,15,18
ACE,BANDAGE,0.131,0.026,15,14
ACE,SPADES,0.11,0,15,9
ACE,HOLE,0.062,0,15,24
ACE,DEUCE,0.028, NA,15, NA
ACE,POKER,0.028,0,15,10
ACE,EXPERT,0.021,0,15,18
ACE,HARDWARE,0.021, NA,15, NA
ACE,KING,0.021,0,15,8
ACE,TENNIS,0.021,0,15,9
ACE,TOP,0.021,0,15,11
ACE,JACK,0.014,0,15,17
ACE,ONE,0.014,0,15,6
ACE,SMART,0.014,0,15,14
ACE,WINNER,0.014,0,15,10
ACHE,PAIN,0.507,0.013,7,13
ACHE,HEAD,0.188,0.082,7,15
ACHE,HURT,0.153,0,7,12
ACHE,BACK,0.042,0.034,7,12
ACHE,SORE,0.021,0.056,7,17
ACHE,BELLY,0.014,0.069,7,12
ACHE,TOOTH,0.014,0.123,7,14
ACHIEVE,GOAL,0.22,0.174,17,21
ACHIEVE,ACCOMPLISH,0.076,0.122,17,8
ACHIEVE,SUCCESS,0.076,0.013,17,13
ACHIEVE,WIN,0.076,0,17,7
ACHIEVE,GAIN,0.053,0.016,17,10
ACHIEVE,GET,0.045,0,17,23
ACHIEVE,DO,0.038,0.011,17,20
ACHIEVE,FAIL,0.038,0,17,21
ACHIEVE,SUCCEED,0.038,0.017,17,21
ACHIEVE,STRIVE,0.03,0.139,17,18
ACHIEVE,FINISH,0.023,0,17,8
ACHIEVE,GRADE,0.023,0,17,14
ACHIEVE,CONQUER,0.015,0,17,18
ACHIEVE,EARN,0.015,0,17,10
ACHIEVE,GREAT,0.015,0,17,18
ACHIEVE,REACH,0.015,0.014,17,16
ACHIEVE,RECEIVE,0.015,0,17,15
ACHIEVEMENT,GOAL,0.221,0,17,21
ACHIEVEMENT,SUCCESS,0.161,0.02,17,13
ACHIEVEMENT,ACCOMPLISH,0.081,0,17,8
ACHIEVEMENT,AWARD,0.081,0.021,17,24
ACHIEVEMENT,GRADE,0.04,0,17,14
ACHIEVEMENT,FAILURE,0.034,0,17,21
ACHIEVEMENT,HONOR,0.034,0.014,17,25
ACHIEVEMENT,A,0.02,0,17,13
ACHIEVEMENT,PRIDE,0.02,0,17,21
ACHIEVEMENT,WIN,0.02,0.02,17,7
ACHIEVEMENT,WORK,0.02,0,17,19
ACHIEVEMENT,COLLEGE,0.013,0,17,15
ACHIEVEMENT,DEGREE,0.013,0,17,17
ACHIEVEMENT,GPA,0.013, NA,17, NA
ACHIEVEMENT,GREAT,0.013,0,17,18
ACHIEVEMENT,MONEY,0.013,0,17,19
ACHIEVEMENT,TEST,0.013,0,17,17
ACID,RAIN,0.177,0,15,18
ACID,BURN,0.15,0,15,20
ACID,BASE,0.122,0.046,15,20
ACID,DRUG,0.102,0,15,20
ACID,CHEMICAL,0.082,0.097,15,24
ACID,TRIP,0.061,0.02,15,10
ACID,LSD,0.034, NA,15, NA
ACID,DANGEROUS,0.027,0,15,22
ACID,BASIC,0.014,0,15,20
ACID,BATTERY,0.014,0.092,15,21
ACID,CHEMISTRY,0.014,0,15,16
ACID,DROP,0.014,0,15,16
ACID,HIT,0.014,0,15,18
ACID,PAIN,0.014,0,15,13
ACID,SOUR,0.014,0,15,13
ACKNOWLEDGE,KNOW,0.193,0,22,24
ACKNOWLEDGE,ACCEPT,0.069,0.02,22,18
ACKNOWLEDGE,PRESENCE,0.055,0,22,14
ACKNOWLEDGE,GREET,0.041,0,22,13
ACKNOWLEDGE,NOTICE,0.041,0,22,14
ACKNOWLEDGE,RECOGNITION,0.041,0.034,22,20
ACKNOWLEDGE,UNDERSTAND,0.041,0,22,12
ACKNOWLEDGE,HELLO,0.034,0,22,7
ACKNOWLEDGE,SEE,0.034,0,22,14
ACKNOWLEDGE,ADMIT,0.028,0,22,18
ACKNOWLEDGE,EXIST,0.021,0,22,20
ACKNOWLEDGE,IGNORE,0.021,0,22,23
ACKNOWLEDGE,NOD,0.021, NA,22, NA
ACKNOWLEDGE,REALIZE,0.021,0.039,22,17
ACKNOWLEDGE,RESPECT,0.021,0,22,26
ACKNOWLEDGE,SHOW,0.021,0,22,24
ACKNOWLEDGE,AGREE,0.014,0,22,11
ACKNOWLEDGE,CREDIT,0.014,0,22,9
ACKNOWLEDGE,KNOWLEDGE,0.014,0,22,14
ACKNOWLEDGE,RESPOND,0.014,0,22,18
ACKNOWLEDGE,SPEAK,0.014,0,22,16
ACKNOWLEDGE,YES,0.014,0,22,7
ACORN,TREE,0.374,0,6,21
ACORN,SQUIRREL,0.324,0.061,6,11
ACORN,NUT,0.122,0,6,14
ACORN,SEED,0.022,0,6,13
ACORN,SQUASH,0.022,0,6,20
ACORN,CHIPMUNK,0.014,0,6,15
ACQUIRE,GET,0.397,0.039,17,23
ACQUIRE,GAIN,0.055,0.016,17,10
ACQUIRE,TAKE,0.048,0,17,11
ACQUIRE,ACCUMULATE,0.041,0.026,17,20
ACQUIRE,KNOWLEDGE,0.041,0,17,14
ACQUIRE,TASTE,0.041,0,17,15
ACQUIRE,OBTAIN,0.034,0.021,17,16
ACQUIRE,RECEIVE,0.027,0,17,15
ACQUIRE,ASK,0.021,0,17,17
ACQUIRE,BUY,0.021,0,17,13
ACQUIRE,COLLECT,0.021,0,17,18
ACQUIRE,OWN,0.021,0,17,16
ACQUIRE,HAVE,0.014,0,17,15
ACQUIRE,INHERIT,0.014, NA,17, NA
ACQUIRE,MONEY,0.014,0,17,19
ACQUIRE,STEAL,0.014,0,17,17
ACQUIRE,WEALTH,0.014,0,17,11
ACRE,LAND,0.675,0.02,9,25
ACRE,FARM,0.04,0,9,12
ACRE,AREA,0.032,0,9,21
ACRE,PLOT,0.032,0,9,15
ACRE,GREEN,0.024,0,9,17
ACRE,LOT,0.024,0.02,9,17
ACRE,MILE,0.024,0,9,16
ACRE,YARD,0.024,0,9,15
ACRE,PROPERTY,0.016,0,9,12
ACROBAT,GYMNAST,0.201,0,19,19
ACROBAT,CIRCUS,0.175,0,19,13
ACROBAT,FLIP,0.097,0,19,21
ACROBAT,GYMNASTICS,0.045,0.02,19,21
ACROBAT,TRAPEZE,0.032, NA,19, NA
ACROBAT,DANCER,0.026,0,19,23
ACROBAT,GYM,0.026,0,19,17
ACROBAT,LIMBER,0.026, NA,19, NA
ACROBAT,ATHLETE,0.019,0,19,18
ACROBAT,FLY,0.019,0,19,19
ACROBAT,JUGGLE,0.019, NA,19, NA
ACROBAT,JUMP,0.019,0,19,12
