cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
achievement,work,.020,0.000,.0020,3.15,3.88,65,760,4.839404,0.130044
acid,base,.122,.046,0.0000,,4.34,13,91,11.321951,0.513506
acid,basic,.014,0.000,0.0000,,,13,171,17.940438,0.149656
acid,battery,.014,.092,0.0000,,,13,18,19.168839,0.088805
acid,burn,.150,0.000,.0020,,4.81,13,15,20.288091,0.167035
acid,chemical,.082,.097,.0010,,,13,60,12.680057,0.204376
acid,chemistry,.014,0.000,.0070,,3.65,13,16,21.401361,0.165152
acid,drop,.014,0.000,.0060,,3.16,13,59,18.793460,0.071807
acid,drug,.102,0.000,.0020,,5.54,13,24,6.192832,0.039534
acid,hit,.014,0.000,0.0000,,4.39,13,115,9.900794,0.010439
acid,pain,.014,0.000,.0040,,4.22,13,88,16.890465,0.036732
acid,rain,.177,0.000,.0010,,5.77,13,70,11.706175,0.106917
acid,sour,.014,0.000,0.0000,,4.54,13,3,10.686958,0.573042
acid,trip,.061,.020,0.0000,,4.39,13,81,18.264840,0.007594
acknowledge,accept,.069,.020,0.0000,2.86,,12,72,1.236149,0.236026
acknowledge,admit,.028,0.000,0.0000,2.86,,12,37,0.000000,0.331261
acknowledge,agree,.014,0.000,.0060,2.86,,12,51,12.552406,0.116338
acknowledge,credit,.014,0.000,0.0000,2.86,,12,64,3.778647,0.020889
acknowledge,exist,.021,0.000,0.0000,2.86,,12,59,11.573404,0.175069
acknowledge,greet,.041,0.000,0.0000,2.86,,12,7,5.865894,0.180884
acknowledge,ignore,.021,0.000,0.0000,2.86,3.08,12,19,8.533297,0.227612
acknowledge,know,.193,0.000,.0110,2.86,2.70,12,683,0.000000,0.131183
acknowledge,notice,.041,0.000,.0030,2.86,3.85,12,59,0.000000,0.080027
acknowledge,realize,.021,.039,.0010,2.86,,12,69,13.705577,0.255720
acknowledge,respect,.021,0.000,0.0000,2.86,2.33,12,125,3.939055,0.340225
acknowledge,respond,.014,0.000,0.0000,2.86,,12,21,1.722766,0.145936
acknowledge,see,.034,0.000,.0070,2.86,3.44,12,772,4.436105,0.091599
acknowledge,show,.021,0.000,0.0000,2.86,3.93,12,287,7.524738,0.076999
acknowledge,speak,.014,0.000,.0010,2.86,4.15,12,110,8.751586,0.117679
acknowledge,understand,.041,0.000,.0210,2.86,2.33,12,137,3.904847,0.166637
acorn,chipmunk,.014,0.000,.0090,,6.07,1,0,27.162841,0.241802
acorn,nut,.122,0.000,.0960,,,1,15,9.647853,0.162903
acorn,seed,.022,0.000,0.0000,,5.90,1,41,8.296345,0.453278
acorn,squash,.022,0.000,0.0000,,,1,2,23.728733,0.134394
acorn,squirrel,.324,.061,.0180,,6.08,1,1,23.830517,0.426594
acorn,tree,.374,0.000,.0430,,6.62,1,59,19.374588,0.529359
acquire,accumulate,.041,.026,0.0000,,,27,3,10.579212,0.084293
acquire,ask,.021,0.000,0.0000,,2.48,27,128,9.375498,0.125511
acquire,buy,.021,0.000,.0050,,3.61,27,70,2.495851,0.108797
acquire,collect,.021,0.000,.0070,,,27,16,5.784995,0.138103
acquire,gain,.055,.016,.0020,,3.21,27,74,2.539786,0.425690
acquire,get,.397,.039,.0310,,2.86,27,750,0.000000,0.130352
acquire,have,.014,0.000,.0250,,2.44,27,3941,1.232711,0.332149
acquire,obtain,.034,.021,.0210,,2.88,27,42,3.639487,0.258194
acquire,own,.021,0.000,.0030,,3.05,27,772,9.186701,0.374821
acquire,receive,.027,0.000,.0510,,2.98,27,76,1.443943,0.179481
acquire,steal,.014,0.000,.0070,,3.59,27,5,11.858457,0.132103
acquire,take,.048,0.000,.0580,,3.20,27,611,0.000000,0.196712
acquire,taste,.041,0.000,0.0000,,4.53,27,59,12.090290,0.076628
acre,area,.032,0.000,0.0000,5.91,3.68,9,323,9.677170,0.212913
acre,farm,.040,0.000,0.0000,5.91,5.53,9,125,7.457733,0.457921
acre,green,.024,0.000,.0140,5.91,5.46,9,116,9.501368,0.103998
acre,land,.675,.020,.0090,5.91,6.07,9,217,9.145700,0.561832
acre,lot,.024,.020,0.0000,5.91,4.43,9,127,10.303967,0.122619
acre,mile,.024,0.000,.0010,5.91,4.71,9,48,15.792300,0.236431
acre,plot,.032,0.000,0.0000,5.91,4.16,9,37,9.638183,0.095965
acre,property,.016,0.000,.0280,5.91,5.99,9,156,8.632224,0.116867
acre,yard,.024,0.000,.0030,5.91,5.23,9,35,9.405214,0.138760
acrobat,air,.013,0.000,0.0000,6.38,5.67,0,257,17.508842,0.088194
acrobat,athlete,.019,0.000,.0230,6.38,,0,9,6.950961,0.206589
acrobat,circus,.175,0.000,0.0000,6.38,5.31,0,7,23.201856,0.340608
acrobat,dancer,.026,0.000,0.0000,6.38,5.54,0,31,17.629222,0.328101
acrobat,flip,.097,0.000,.0040,6.38,,0,4,21.065493,0.005909
acrobat,fly,.019,0.000,0.0000,6.38,5.14,0,33,19.133629,0.080896
acrobat,gym,.026,0.000,0.0000,6.38,5.93,0,2,23.712978,0.182520
acrobat,gymnast,.201,0.000,0.0000,6.38,,0,1,12.589702,0.328177
acrobat,gymnastics,.045,.020,.0050,6.38,5.08,0,11,25.101662,0.117131
acrobat,jump,.019,0.000,.0060,6.38,4.44,0,24,22.196573,0.163007
acrobat,olympics,.013,0.000,.0190,6.38,,0,2,26.487961,0.121341
acrobat,rope,.019,0.000,.0040,6.38,6.36,0,15,21.147908,0.188876
act,actor,.034,0.000,.0090,3.79,5.45,283,24,9.271621,0.148869
act,do,.074,.017,.0010,3.79,2.72,283,1363,0.000000,0.242627
act,drama,.061,.200,.0050,3.79,3.66,283,43,2.501000,0.180600
act,fail,.014,0.000,0.0000,3.79,3.23,283,37,9.720440,0.182745
act,out,.014,0.000,0.0000,3.79,2.40,283,2096,4.532640,0.167680
act,perform,.020,.291,.0010,3.79,,283,29,1.477561,0.181502
act,play,.182,0.000,.0470,3.79,4.22,283,200,0.000000,0.135837
act,portray,.020,.247,0.0000,3.79,3.25,283,6,4.279631,0.058556
act,pretend,.176,.115,0.0000,3.79,2.68,283,8,0.000000,0.111983
act,real,.014,0.000,.0050,3.79,2.78,283,260,9.890023,0.054184
